genes	SRR1278968_counts.txt SRR1278969_counts.txt SRR1278970_counts.txt SRR1278971_counts.txt SRR1278972_counts.txt SRR1278973_counts.txt
__alignment_not_unique 311345 297572 299812 322722 357219 284934
__ambiguous 0 0 0 0 0 0
CPAR2_100010 0 0 0 0 0 0
CPAR2_100020 0 0 0 0 0 0
CPAR2_100030 0 0 0 0 3 0
CPAR2_100040 0 0 0 20 16 12
CPAR2_100050 1 6 4 5 10 5
CPAR2_100060 3 2 2 64 63 23
CPAR2_100070 0 0 0 7 4 8
CPAR2_100080 19 21 37 83 110 120
CPAR2_100090 0 0 0 12 10 5
CPAR2_100100 4 1 2 6 10 5
CPAR2_100110 0 0 0 328 198 105
CPAR2_100120 0 1 0 2 4 7
CPAR2_100130 0 0 1 1 0 1
CPAR2_100140 7 8 4 36 90 60
CPAR2_100150 0 0 0 0 3 1
CPAR2_100160 8 12 15 14 36 31
CPAR2_100170 0 0 0 1 2 0
CPAR2_100180 2 0 1 0 1 1
CPAR2_100190 0 1 0 0 1 0
CPAR2_100200 5 9 5 0 0 0
CPAR2_100210 0 0 1 2 0 0
CPAR2_100220 1 1 0 0 0 0
CPAR2_100230 0 0 0 0 0 0
CPAR2_100240 2 0 0 1 2 2
CPAR2_100250 1 3 0 0 0 0
CPAR2_100260 0 1 0 0 1 1
CPAR2_100270 44 34 36 97 153 95
CPAR2_100280 0 0 0 2 7 7
CPAR2_100290 0 0 0 0 1 0
CPAR2_100300 4 4 4 21 39 44
CPAR2_100320 0 0 1 0 0 0
CPAR2_100330 49 40 50 5 15 9
CPAR2_100340 0 0 1 0 0 0
CPAR2_100350 0 0 2 0 0 0
CPAR2_100360 1 1 0 16 17 10
CPAR2_100370 0 1 0 2 7 2
CPAR2_100380 0 0 0 0 1 0
CPAR2_100390 0 0 0 0 0 0
CPAR2_100400 3 0 2 15 25 22
CPAR2_100410 1 0 1 1 0 1
CPAR2_100420 4 4 5 7 9 10
CPAR2_100430 1 0 0 0 0 0
CPAR2_100440 0 0 0 0 2 0
CPAR2_100450 0 2 0 0 0 0
CPAR2_100460 0 0 1 3 3 0
CPAR2_100470 1 0 1 14 7 1
CPAR2_100480 0 0 0 2 0 0
CPAR2_100490 0 0 0 1 0 0
CPAR2_100500 1 0 0 5 3 0
CPAR2_100510 0 0 1 0 0 0
CPAR2_100520 1 0 1 3 6 4
CPAR2_100530 1 0 0 1 1 3
CPAR2_100540 0 0 0 0 0 0
CPAR2_100550 1 1 0 4 0 1
CPAR2_100560 321 327 348 173 264 213
CPAR2_100565 0 0 0 1 0 0
CPAR2_100570 0 0 0 8 3 2
